시간,주가,순간거래량,체결강도
09:00:09,77500,0,94.98
09:02:48,77000,5414,94.0
09:04:07,77000,1638,89.75
09:05:26,77100,4219,90.53
09:06:45,77000,5348,88.37
09:08:04,77050,934,90.69
09:09:23,77100,2219,89.94
09:10:42,77000,1478,88.84
09:12:02,76900,1916,88.55
09:13:21,77100,4434,89.33
09:14:40,77000,2793,89.53
09:15:59,77200,2648,87.58
09:17:19,77100,868,89.14
09:18:39,77200,5036,89.5
09:19:58,76800,6163,85.3
09:21:17,76900,1156,86.64
09:22:41,76800,1090,87.28
09:24:00,76800,536,88.15
09:25:21,77000,2495,88.18
09:26:41,77000,372,87.42
09:28:04,77000,2021,89.83
09:29:25,77000,1582,89.83
09:30:46,77100,755,88.3
09:32:05,77100,591,88.66
09:33:24,77000,166,88.51
09:34:43,77000,3887,90.08
09:36:01,77100,1177,88.5
09:37:20,77000,1664,88.4
09:38:39,76900,637,87.81
09:39:58,77000,647,88.01
09:41:20,76900,484,88.09
09:42:39,77000,445,88.22
09:43:59,76900,551,88.43
09:45:18,76700,5389,88.88
09:46:37,76700,1254,88.77
09:47:56,76700,1737,88.84
09:49:15,76800,755,88.02
09:50:34,76800,2102,87.49
09:51:53,76700,1510,85.87
09:53:12,76700,342,85.84
09:54:32,76700,981,85.59
09:55:54,76700,723,85.29
09:57:13,76700,412,85.32
09:58:33,76700,484,85.94
09:59:54,76800,542,85.98
10:01:17,76800,1386,87.05
10:02:39,76800,678,87.33
10:03:58,76800,296,87.96
10:05:17,76700,572,88.01
10:06:36,76800,2030,87.58
10:07:58,76700,361,87.66
10:09:18,76600,4011,85.25
10:10:39,76600,963,85.8
10:12:02,76600,494,85.89
10:13:22,76700,2019,86.15
10:14:45,76700,611,86.51
10:16:08,76700,745,86.48
10:17:27,76600,492,87.06
10:18:46,76800,2951,87.79
10:20:08,76800,2873,84.2
10:21:28,76800,785,84.19
10:22:49,76900,669,83.63
10:24:09,76800,3793,83.82
10:25:30,76700,697,83.84
10:26:49,76800,426,83.99
10:28:10,76700,1686,84.15
10:29:29,76700,390,84.12
10:30:49,76600,1031,83.85
10:32:12,76700,372,83.64
10:33:33,76600,704,84.02
10:34:54,76600,344,84.11
10:36:16,76600,468,84.17
10:37:35,76600,241,84.12
10:38:54,76600,195,84.07
10:40:13,76600,401,84.14
10:41:33,76700,230,84.47
10:42:55,76700,286,84.61
10:44:16,76600,839,84.83
10:45:35,76700,1271,84.85
10:46:54,76800,2178,84.94
10:48:15,76700,2312,85.22
