시간,주가,순간거래량,체결강도
09:00:02,60300,0,81.29
09:04:13,60800,119294,88.37
09:06:17,61300,31518,91.55
09:08:24,61100,49201,97.51
09:10:28,60700,34791,96.11
09:12:33,60800,28759,102.09
09:14:40,60600,31638,105.74
09:16:47,60500,29238,112.22
09:18:55,60500,26076,114.13
09:21:00,60500,44605,110.7
09:23:06,60700,16544,112.43
09:25:13,60700,4014,112.69
09:27:11,60800,5519,112.39
09:29:09,60800,5222,112.9
09:31:08,60800,17962,111.72
09:33:06,60700,4767,112.07
09:35:03,60600,5504,111.69
09:37:01,60600,3426,111.53
09:38:57,60800,5774,111.34
09:41:03,60800,3733,111.12
09:43:02,60800,11136,111.45
09:45:02,60600,13631,110.33
09:46:58,60500,5806,111.03
09:48:55,60700,6331,111.21
09:50:51,60750,3717,112.12
09:52:47,60600,5583,111.55
09:54:44,60600,2485,111.67
10:00:59,60500,22128,111.78
10:03:15,60400,9300,113.33
10:05:23,60500,3491,113.66
10:07:26,60300,13747,112.45
10:09:28,60300,3856,112.65
10:11:29,60300,20768,110.7
10:13:32,60200,49953,107.25
10:15:36,60300,3233,107.91
10:17:44,60400,7358,108.49
10:19:46,60400,2387,108.65
10:21:47,60300,13336,108.59
10:23:49,60400,4583,110.02
10:25:50,60400,2420,110.09
10:27:58,60400,2267,110.03
10:30:00,60350,2914,110.08
10:32:02,60400,5273,110.25
10:34:04,60400,5019,110.47
10:36:05,60500,11625,110.6
10:38:13,60300,14542,110.25
10:40:17,60300,2182,109.77
10:42:18,60300,6693,110.41
10:44:21,60250,1720,110.55
10:46:25,60250,2218,110.76
10:48:40,60200,5045,111.28
10:50:40,60300,1820,111.49
10:52:38,60400,11648,112.37
10:54:37,60300,7623,112.9
10:56:55,60300,5425,113.14
10:59:03,60300,2041,113.4
11:01:12,60200,2566,113.6
11:03:23,60300,4439,113.9
11:05:37,60200,5061,114.43
11:07:44,60200,4017,114.4
11:09:52,60200,2159,114.57
11:11:58,60300,2303,114.68
11:14:04,60300,2734,114.63
11:16:07,60200,2003,114.5
11:18:19,60300,1860,114.59
11:20:30,60200,2196,114.72
11:22:37,60200,26443,117.1
11:24:41,60100,6335,117.21
11:26:56,60100,2767,117.31
11:28:59,60100,2218,117.34
11:31:02,60100,2118,117.39
11:33:18,60100,2270,117.61
11:35:21,60100,3412,117.7
