시간,주가,순간거래량,체결강도
09:00:04,267500,0,92.11
09:01:22,267500,51200,106.43
09:02:42,266000,24033,114.72
09:04:05,264500,54942,119.27
09:04:48,264500,0,106.67
09:06:55,266500,65256,109.96
09:09:03,266500,20169,114.44
09:11:10,266500,19200,115.47
09:13:15,265500,24376,114.94
09:15:22,262500,104918,113.54
09:17:32,262000,102215,109.94
09:19:38,262000,37954,111.0
09:21:44,260500,77126,113.45
09:23:50,260000,64755,117.94
09:25:56,258500,96617,118.81
09:28:00,259000,64335,123.62
09:30:05,259500,33975,122.79
09:32:10,259500,44650,122.51
09:34:15,260000,16370,124.37
09:36:30,259750,25886,125.63
09:38:38,260000,18147,126.03
09:40:45,259000,30733,127.47
09:42:52,257000,87584,125.27
09:44:58,257000,40333,126.66
09:47:12,256250,63248,130.41
09:49:26,256500,27854,131.35
09:51:30,257000,26463,132.52
09:53:33,257500,42247,133.42
09:55:35,256000,48736,133.55
09:57:39,257500,17476,133.87
09:59:41,258000,26149,133.13
10:01:50,257000,15808,131.99
10:04:01,256500,25889,132.03
10:06:12,255750,35363,130.96
10:08:15,256000,29824,130.49
10:10:19,255000,55849,130.79
10:12:23,256000,24011,129.32
10:14:27,256000,10194,129.41
10:16:31,255500,23445,128.76
10:18:41,255250,20929,128.08
10:20:54,254750,23695,127.59
10:22:58,255500,26937,127.33
10:25:01,254000,34583,127.31
10:27:05,254000,61195,127.49
10:29:09,253000,28708,127.34
10:31:17,253500,35774,127.02
10:33:27,254000,24528,126.67
10:35:32,254000,13518,126.16
10:37:37,253500,18366,125.73
10:39:41,254000,13997,125.56
10:41:52,255750,24814,125.24
10:44:05,256500,35578,125.53
10:46:11,256000,15801,124.66
10:48:16,257000,17484,124.15
10:50:19,256500,22214,124.34
10:52:28,256000,19747,123.72
10:54:34,256000,8499,123.04
10:56:37,256000,2819,122.85
10:58:40,255750,10415,122.55
11:00:52,255750,17357,123.32
11:03:00,256000,7241,123.22
11:05:12,257000,6631,123.29
