시간,주가,순간거래량,체결강도
09:00:07,212500,0,100.0
09:02:05,214500,3783,114.85
09:04:12,213500,3068,102.91
09:06:18,216000,12007,103.6
09:08:24,216000,4349,105.07
09:10:29,214500,3816,102.03
09:12:42,214000,4523,100.05
09:14:52,215000,2848,107.52
09:16:57,214000,1247,107.85
09:19:00,214000,515,106.88
09:21:03,214250,2913,108.23
09:23:05,214000,664,108.49
09:25:07,214500,145,108.63
09:27:09,214500,2064,111.77
09:29:11,214500,1124,110.52
09:31:14,215500,3431,110.7
09:33:16,216500,3341,109.99
09:35:18,216000,987,109.49
09:37:24,215500,254,109.72
09:39:26,216000,2701,109.59
09:41:27,215500,1401,108.68
09:43:29,215000,1219,109.45
09:45:32,217000,7020,108.96
09:47:43,217500,556,106.51
09:49:44,218500,7406,106.3
09:51:47,219500,3041,103.42
09:53:49,219500,8121,104.73
09:55:53,221000,7210,104.21
09:57:56,221000,2615,107.39
10:00:03,221500,1172,105.13
10:02:03,223000,4007,103.82
10:04:03,221000,3222,101.26
10:06:14,221500,2048,99.27
10:08:17,220500,2273,98.2
10:10:22,220000,5060,100.28
10:12:21,220500,1197,99.44
10:14:22,221000,3146,100.93
10:16:21,222500,2503,101.18
10:18:23,222500,2330,100.27
10:20:30,222000,3561,99.27
10:22:28,222000,2710,97.78
10:24:26,222500,1203,96.31
10:26:24,223000,2193,96.74
10:28:21,223000,7180,95.72
10:30:26,223500,4062,93.59
10:32:33,223500,2962,91.5
10:34:33,223000,2320,90.56
10:36:32,224000,9256,90.26
10:38:38,223500,1714,91.1
10:40:43,223500,1229,90.9
10:42:55,225000,11453,86.36
10:45:06,225500,3503,85.96
10:47:23,227000,4055,85.52
10:49:29,227500,3172,85.56
10:51:42,227000,4373,85.87
10:53:54,227000,2507,85.37
10:55:54,227000,3388,85.43
10:58:01,227000,1673,85.53
11:00:09,227000,7102,86.31
11:02:25,226500,1927,86.4
11:04:26,227000,2547,87.02
11:06:33,227000,3061,87.21
11:08:40,227500,3977,87.39
11:10:57,227000,3084,86.72
11:13:04,227000,2708,87.15
11:15:11,227500,961,87.52
11:17:19,227000,1484,87.67
11:19:32,227000,2281,87.97
11:21:39,228500,8027,87.56
11:23:45,228000,1665,87.8
11:25:58,228000,3454,88.1
11:28:05,227500,1168,88.73
11:30:10,228000,2209,88.95
