시간,주가,순간거래량,체결강도
09:00:03,93500,0,118.7
09:04:14,93700,795628,120.64
09:06:20,93600,436809,118.42
09:08:26,93100,658274,116.03
09:10:37,92800,598392,109.48
09:12:43,92900,338484,105.49
09:14:50,92950,393853,105.15
09:16:55,93000,469860,104.76
09:19:03,93200,164847,104.32
09:21:09,93300,296277,104.92
09:23:15,93300,258810,102.96
09:25:21,93300,102759,102.63
09:27:26,93500,243564,102.68
09:29:32,93350,213051,102.86
09:31:38,93400,107493,102.49
09:33:42,93500,96724,102.99
09:35:45,93800,252550,102.18
09:37:52,93800,271039,101.53
09:39:58,93850,215202,101.18
09:42:07,94000,176565,100.71
09:44:12,93900,159288,100.57
09:46:19,94000,228776,100.12
09:48:25,94000,622524,97.69
09:50:27,94100,208728,96.41
09:52:30,94200,181884,95.5
09:54:32,94100,334375,95.65
09:56:38,94050,145888,95.35
09:58:48,93900,426812,95.57
10:00:55,94000,177653,95.3
10:03:01,94100,154329,96.09
10:05:07,94100,92773,95.83
10:07:11,94200,120792,95.65
10:09:15,94200,70387,95.45
10:11:19,94100,93180,95.19
10:13:25,94150,63646,95.26
10:15:32,94200,144687,95.27
10:17:44,94100,146899,95.39
10:19:48,94000,327150,94.02
10:21:53,94100,47833,93.98
10:23:57,94050,102901,93.97
10:26:03,94100,201052,93.42
10:28:08,94200,99974,93.5
10:30:15,94200,73381,93.3
10:32:23,94300,255138,92.31
10:34:27,94200,129372,92.36
10:36:31,94300,119862,92.48
10:38:36,94400,259344,92.54
10:40:39,94400,170752,91.72
10:42:48,94350,224483,91.5
10:44:56,94250,290781,90.63
10:47:02,94050,212995,90.95
10:49:09,94000,214789,91.06
10:51:12,93900,58669,90.68
10:53:15,93950,36590,90.76
10:55:16,93800,185855,90.72
10:57:17,93800,107413,90.55
10:59:18,93800,64162,90.36
11:01:18,93600,388209,90.06
11:03:19,93500,323976,89.23
11:05:20,93400,172954,89.14
11:07:21,93450,92395,89.17
11:09:22,93400,41596,89.22
11:11:22,93250,190702,89.44
11:13:25,93200,137865,89.49
11:15:28,93200,144432,89.44
11:17:31,93450,136037,89.25
11:19:32,93450,126226,89.36
11:21:33,93500,95221,89.31
11:23:33,93600,115113,89.07
11:25:35,93650,62685,89.26
11:27:36,93400,151689,89.71
11:29:36,93800,155579,89.69
11:31:37,93900,52551,89.65
11:33:37,93850,24510,89.61
11:35:42,93800,62026,89.74
11:37:46,93800,113071,90.01
11:39:49,93800,88890,90.06
11:41:51,93850,48597,90.02
11:43:47,93900,52685,90.1
11:45:45,94000,75286,90.23
11:47:52,93900,49110,90.3
11:49:48,94000,34184,90.31
11:51:43,93900,75046,90.53
11:53:38,94000,89264,90.8
11:55:34,93800,228356,91.07
11:57:29,93850,54108,91.35
11:59:24,93800,75969,91.48
12:01:19,93800,50082,91.52
12:03:14,93900,38053,91.58
12:05:10,94000,90034,91.61
12:07:05,94000,40322,91.67
